POISSON BOLTZMANN:
Complex Energy Terms
Frame #,BOND,ANGLE,DIHED,VDWAALS,EEL,1-4 VDW,1-4 EEL,EPB,ENPOLAR,EDISPER,GGAS,GSOLV,TOTAL
135,1195.27,2845.27,4114.39,-3124.67,-25816.62,1345.43,13712.47,-3086.6,87.75,0.0,-5728.46,-2998.85,-8727.31
140,1136.14,2895.81,4111.95,-3129.36,-25772.88,1353.12,13638.14,-3106.64,87.23,0.0,-5767.09,-3019.41,-8786.5
145,1203.73,2888.66,4124.38,-3103.17,-25702.9,1343.64,13689.59,-3249.19,89.11,0.0,-5556.08,-3160.08,-8716.16
150,1162.79,2849.07,4171.36,-3090.45,-25823.32,1357.45,13614.6,-3108.54,88.66,0.0,-5758.51,-3019.88,-8778.39
155,1136.89,2878.36,4125.18,-3112.72,-25787.76,1387.24,13637.86,-3120.92,87.98,0.0,-5734.95,-3032.94,-8767.89
160,1163.5,2911.65,4131.81,-3153.55,-25808.22,1364.35,13649.46,-3029.27,86.77,0.0,-5741.0,-2942.5,-8683.5
165,1139.16,2858.32,4151.09,-3140.18,-25741.12,1388.03,13646.72,-3117.77,86.11,0.0,-5697.98,-3031.66,-8729.64
170,1100.63,2922.97,4111.51,-3154.98,-25791.14,1329.46,13674.64,-3086.62,86.34,0.0,-5806.91,-3000.28,-8807.18
175,1151.29,2896.43,4159.52,-3137.25,-25823.62,1365.98,13699.36,-3105.52,85.92,0.0,-5688.29,-3019.59,-8707.88
180,1110.18,2911.36,4138.84,-3181.73,-25781.02,1342.59,13707.79,-3134.13,86.96,0.0,-5751.99,-3047.17,-8799.16
185,1186.74,2847.2,4155.43,-3154.09,-25789.37,1352.1,13666.39,-3137.07,84.71,0.0,-5735.61,-3052.36,-8787.97
190,1170.98,2863.55,4102.29,-3195.6,-25762.91,1367.39,13741.13,-3130.0,85.68,0.0,-5713.16,-3044.32,-8757.48
195,1145.46,2869.55,4132.23,-3146.35,-25741.7,1374.61,13684.22,-3140.1,86.18,0.0,-5681.98,-3053.91,-8735.89
200,1140.83,2858.89,4142.61,-3171.99,-25821.47,1360.92,13667.94,-3127.75,86.59,0.0,-5822.28,-3041.16,-8863.44
205,1147.55,2868.64,4118.66,-3127.93,-25990.1,1384.46,13726.24,-3023.88,86.36,0.0,-5872.48,-2937.52,-8810.0
210,1138.1,2890.83,4134.84,-3171.37,-25920.21,1369.51,13753.64,-3063.22,85.19,0.0,-5804.66,-2978.03,-8782.68
215,1118.6,2937.0,4144.08,-3164.64,-25930.25,1366.42,13700.05,-3051.14,83.89,0.0,-5828.75,-2967.25,-8796.0
220,1116.61,2930.6,4113.03,-3153.05,-25888.26,1363.9,13678.44,-3047.37,85.95,0.0,-5838.73,-2961.42,-8800.15
225,1162.48,2873.87,4133.05,-3175.49,-25867.78,1396.12,13703.74,-3052.68,84.28,0.0,-5774.0,-2968.4,-8742.39
230,1112.6,2838.17,4123.26,-3187.23,-25788.04,1368.84,13764.44,-3138.23,85.87,0.0,-5767.96,-3052.36,-8820.32
235,1168.96,2852.62,4137.51,-3159.7,-25909.02,1358.01,13610.1,-3022.58,84.61,0.0,-5941.53,-2937.97,-8879.49
240,1168.12,2948.04,4147.8,-3132.38,-25939.47,1360.18,13696.68,-3034.21,85.24,0.0,-5751.01,-2948.98,-8699.99
245,1161.45,2923.59,4137.66,-3170.74,-25635.38,1358.33,13666.39,-3230.13,85.73,0.0,-5558.7,-3144.4,-8703.1
250,1133.15,2878.56,4114.31,-3149.09,-25864.85,1377.72,13680.86,-3078.44,84.63,0.0,-5829.33,-2993.81,-8823.15
255,1133.1,2879.31,4143.97,-3137.63,-25886.02,1358.74,13684.12,-3048.2,84.8,0.0,-5824.4,-2963.4,-8787.8
260,1123.85,2851.27,4158.38,-3156.63,-25839.99,1373.9,13731.52,-3110.3,86.06,0.0,-5757.7,-3024.23,-8781.94
265,1162.69,2932.38,4158.75,-3149.44,-25698.07,1350.69,13621.67,-3163.39,85.85,0.0,-5621.33,-3077.54,-8698.87
270,1114.92,2903.37,4134.85,-3183.66,-25769.1,1347.13,13670.13,-3075.86,84.79,0.0,-5782.35,-2991.07,-8773.41
275,1128.95,2860.5,4147.39,-3164.75,-25768.56,1353.29,13621.02,-3074.66,86.28,0.0,-5822.16,-2988.39,-8810.55
280,1157.9,2900.6,4099.23,-3117.85,-25937.79,1370.79,13612.34,-2979.59,86.55,0.0,-5914.78,-2893.04,-8807.83
285,1149.38,2860.53,4184.19,-3136.82,-25886.88,1373.27,13742.56,-3105.0,86.35,0.0,-5713.77,-3018.65,-8732.41
290,1217.87,2803.04,4136.35,-3167.49,-25676.0,1361.79,13629.91,-3137.17,85.28,0.0,-5694.55,-3051.89,-8746.43
295,1121.05,2880.68,4163.27,-3194.4,-25658.17,1363.97,13645.07,-3128.16,85.57,0.0,-5678.54,-3042.59,-8721.12
