GENERALIZED BORN:
Complex Energy Terms
Frame #,BOND,ANGLE,DIHED,VDWAALS,EEL,1-4 VDW,1-4 EEL,EGB,ESURF,GGAS,GSOLV,TOTAL
356,910.76,2398.49,2899.47,-2261.82,-20420.81,1076.27,11179.28,-2334.19,91.54,-4218.36,-2242.64,-6461.01
357,906.57,2406.77,2940.14,-2316.56,-20390.23,1076.36,11261.71,-2405.8,91.95,-4115.23,-2313.85,-6429.08
358,902.19,2383.44,2874.86,-2330.46,-20501.71,1106.46,11288.67,-2335.16,90.1,-4276.55,-2245.06,-6521.61
359,916.96,2396.1,2943.02,-2280.87,-20481.79,1084.44,11208.97,-2320.99,91.44,-4213.17,-2229.54,-6442.71
360,871.95,2460.88,2922.1,-2301.74,-20548.9,1093.17,11238.0,-2289.53,90.16,-4264.53,-2199.36,-6463.89
361,874.74,2410.51,2923.17,-2317.54,-20459.32,1113.01,11266.81,-2412.52,91.21,-4188.63,-2321.31,-6509.94
362,890.43,2358.91,2954.18,-2300.64,-20384.19,1075.95,11229.8,-2442.88,91.92,-4175.56,-2350.96,-6526.52
363,882.3,2401.24,2921.73,-2307.53,-20394.85,1099.08,11187.81,-2368.82,93.67,-4210.23,-2275.16,-6485.39
364,858.87,2369.39,2907.67,-2287.64,-20414.46,1095.99,11279.37,-2422.13,90.52,-4190.8,-2331.62,-6522.41
365,870.75,2410.11,2946.91,-2277.04,-20573.03,1093.87,11286.37,-2339.87,93.95,-4242.07,-2245.92,-6487.99
366,864.89,2393.28,2915.7,-2263.64,-20455.53,1112.43,11266.07,-2390.53,92.99,-4166.8,-2297.54,-6464.34
367,916.23,2372.61,2925.72,-2270.2,-20442.23,1100.64,11324.77,-2453.2,93.06,-4072.47,-2360.14,-6432.61
368,824.85,2454.66,2882.06,-2288.79,-20374.91,1089.34,11237.38,-2441.47,92.92,-4175.42,-2348.55,-6523.97
369,930.75,2379.32,2906.94,-2246.59,-20357.15,1060.56,11259.75,-2505.21,94.33,-4066.42,-2410.88,-6477.3
370,916.69,2385.54,2889.24,-2252.79,-20501.2,1089.74,11323.63,-2428.09,94.79,-4149.15,-2333.29,-6482.44
371,882.59,2454.17,2898.77,-2290.66,-20392.96,1083.92,11197.55,-2376.73,92.92,-4166.62,-2283.81,-6450.43
372,912.11,2480.46,2899.69,-2257.1,-20428.67,1098.0,11237.16,-2364.73,94.85,-4058.36,-2269.88,-6328.25
373,853.59,2340.07,2906.34,-2298.85,-20442.73,1072.88,11297.07,-2415.0,93.6,-4271.64,-2321.41,-6593.04
374,888.96,2427.22,2910.08,-2269.55,-20394.4,1094.96,11226.53,-2403.2,93.72,-4116.2,-2309.47,-6425.68
375,876.23,2373.91,2899.77,-2260.38,-20400.77,1070.91,11228.99,-2421.73,93.46,-4211.34,-2328.27,-6539.61
376,852.48,2487.52,2948.07,-2285.06,-20413.56,1073.76,11230.68,-2405.58,94.2,-4106.11,-2311.39,-6417.49
377,888.22,2406.24,2946.38,-2271.85,-20438.18,1077.69,11319.99,-2454.68,96.91,-4071.51,-2357.77,-6429.28
378,876.89,2385.79,2960.78,-2261.72,-20611.12,1091.32,11343.94,-2307.27,93.66,-4214.12,-2213.61,-6427.73
379,850.23,2386.03,2910.56,-2264.48,-20410.98,1096.36,11265.74,-2415.05,96.06,-4166.53,-2318.99,-6485.52
380,888.28,2412.18,2937.58,-2291.1,-20537.74,1092.2,11260.63,-2351.39,93.91,-4237.96,-2257.48,-6495.44
381,845.81,2398.92,2938.16,-2294.31,-20473.2,1077.29,11288.84,-2395.09,93.74,-4218.49,-2301.35,-6519.85
382,838.56,2424.73,2923.86,-2276.21,-20624.02,1096.56,11330.81,-2322.73,92.34,-4285.71,-2230.39,-6516.1
383,861.9,2371.49,2933.07,-2230.27,-20531.39,1084.01,11293.65,-2381.87,95.08,-4217.53,-2286.79,-6504.32
384,870.88,2446.49,2916.85,-2270.47,-20487.17,1087.93,11279.72,-2400.09,91.34,-4155.76,-2308.75,-6464.5
385,889.9,2411.86,2929.14,-2275.2,-20456.94,1109.36,11251.05,-2368.14,92.78,-4140.84,-2275.37,-6416.2
386,917.0,2473.48,2916.27,-2305.32,-20445.22,1071.25,11230.41,-2406.32,95.1,-4142.13,-2311.22,-6453.36
387,842.86,2455.24,2931.42,-2317.21,-20496.61,1096.37,11264.94,-2315.01,91.27,-4223.0,-2223.74,-6446.74
388,861.52,2448.27,2894.33,-2294.81,-20442.71,1092.37,11249.07,-2387.06,92.31,-4191.96,-2294.75,-6486.71
389,873.33,2479.23,2944.97,-2300.83,-20498.73,1094.13,11267.24,-2361.71,91.12,-4140.65,-2270.59,-6411.24
390,903.68,2392.87,2898.2,-2342.98,-20558.62,1092.06,11304.35,-2328.22,91.33,-4310.43,-2236.89,-6547.33
391,898.74,2370.61,2926.66,-2292.83,-20498.37,1083.05,11318.88,-2418.85,94.15,-4193.26,-2324.7,-6517.96
392,900.19,2397.15,2935.06,-2252.91,-20388.82,1093.76,11278.24,-2487.61,96.89,-4037.31,-2390.72,-6428.03
393,872.51,2445.8,2955.48,-2291.46,-20457.88,1077.49,11286.9,-2423.72,92.35,-4111.17,-2331.37,-6442.54
394,880.27,2409.12,2941.72,-2263.8,-20551.35,1084.93,11284.88,-2361.25,95.02,-4214.24,-2266.23,-6480.47
395,836.77,2299.41,2944.42,-2283.05,-20494.54,1087.0,11317.75,-2370.52,92.4,-4292.23,-2278.12,-6570.35
396,868.11,2411.08,2898.39,-2310.54,-20423.08,1075.86,11232.9,-2385.75,93.77,-4247.28,-2291.98,-6539.26
397,923.47,2411.96,2867.54,-2293.07,-20443.67,1073.28,11276.61,-2401.92,94.19,-4183.9,-2307.73,-6491.63
398,923.8,2429.56,2918.37,-2314.32,-20510.26,1088.39,11323.39,-2349.72,93.91,-4141.07,-2255.81,-6396.88
399,862.09,2395.54,2888.08,-2308.95,-20384.33,1108.63,11301.71,-2461.66,95.55,-4137.24,-2366.11,-6503.35
400,867.82,2402.68,2897.27,-2288.79,-20377.89,1095.38,11235.53,-2470.97,92.88,-4168.01,-2378.09,-6546.1
401,898.25,2374.76,2910.82,-2307.11,-20388.76,1114.74,11306.76,-2476.92,94.17,-4090.53,-2382.75,-6473.28
402,837.85,2382.77,2918.64,-2292.66,-20347.3,1098.68,11266.82,-2526.56,94.3,-4135.2,-2432.26,-6567.46
403,867.36,2402.58,2905.65,-2306.86,-20485.24,1080.3,11273.39,-2365.41,92.09,-4262.81,-2273.32,-6536.13
