POISSON BOLTZMANN:
Complex Energy Terms
Frame #,BOND,ANGLE,DIHED,VDWAALS,EEL,1-4 VDW,1-4 EEL,EPB,ENPOLAR,EDISPER,GGAS,GSOLV,TOTAL
348,-0.0,-0.0,0.0,-39.0,-9.03,-0.0,0.0,27.82,-2.54,0.0,-48.03,25.28,-22.76
349,-0.0,-0.0,-0.0,-31.96,-2.88,-0.0,0.0,26.7,-2.53,0.0,-34.83,24.17,-10.66
350,-0.0,-0.0,0.0,-34.89,-2.01,-0.0,0.0,22.82,-2.53,0.0,-36.9,20.29,-16.61
351,0.0,0.0,0.0,-36.25,1.06,0.0,-0.0,22.49,-2.49,0.0,-35.18,20.0,-15.19
352,0.0,0.0,-0.0,-37.2,-1.96,-0.0,-0.0,26.62,-2.57,0.0,-39.16,24.05,-15.12
353,0.0,0.0,0.0,-34.26,2.54,0.0,0.0,22.23,-2.64,0.0,-31.72,19.6,-12.12
354,-0.0,0.0,0.0,-35.01,-0.48,0.0,0.0,25.6,-2.47,0.0,-35.48,23.13,-12.35
355,0.0,-0.0,0.0,-38.9,-6.81,0.0,-0.0,30.38,-2.52,0.0,-45.71,27.86,-17.85
356,0.0,-0.0,0.0,-35.01,-4.59,0.0,-0.0,24.44,-2.56,0.0,-39.6,21.88,-17.73
357,-0.0,-0.0,0.0,-33.48,-1.01,-0.0,-0.0,25.98,-2.54,0.0,-34.49,23.44,-11.04
358,-0.0,0.0,0.0,0.0,0.03,0.0,-0.0,0.04,-0.0,0.0,0.03,0.04,0.07
359,-0.0,0.0,-0.0,-37.63,-9.72,-0.0,-0.0,32.49,-2.45,0.0,-47.35,30.04,-17.31
360,-0.0,-0.0,-0.0,-37.06,-10.57,0.0,0.0,31.07,-2.42,0.0,-47.63,28.65,-18.98
361,0.0,-0.0,0.0,-37.68,-2.19,-0.0,0.0,32.31,-2.54,0.0,-39.87,29.77,-10.11
362,-0.0,0.0,-0.0,-37.33,-3.51,-0.0,0.0,32.09,-2.5,0.0,-40.84,29.59,-11.25
363,0.0,-0.0,0.0,-35.73,-6.78,-0.0,-0.0,27.62,-2.61,0.0,-42.51,25.02,-17.49
364,-0.0,-0.0,-0.0,-32.48,-11.25,-0.0,0.0,26.05,-2.42,0.0,-43.73,23.62,-20.1
365,-0.0,-0.0,0.0,-36.15,-4.1,0.0,-0.0,27.86,-2.6,0.0,-40.25,25.26,-14.99
366,0.0,-0.0,-0.0,-36.35,-7.75,-0.0,-0.0,25.96,-2.52,0.0,-44.1,23.44,-20.66
367,0.0,-0.0,-0.0,-0.0,-0.09,-0.0,-0.0,-0.19,0.0,0.0,-0.09,-0.19,-0.28
368,-0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.29,-0.0,0.0,0.0,-0.29,-0.29
369,0.0,0.0,-0.0,0.0,-0.1,-0.0,0.0,0.19,0.0,0.0,-0.1,0.19,0.1
370,0.0,0.0,-0.0,0.0,-0.06,0.0,0.0,-0.65,0.0,0.0,-0.06,-0.65,-0.71
371,0.0,-0.0,0.0,0.0,-0.07,0.0,-0.0,-0.38,-0.0,0.0,-0.07,-0.38,-0.45
372,0.0,0.0,-0.0,-0.0,-0.08,0.0,0.0,0.05,-0.0,0.0,-0.08,0.05,-0.04
373,0.0,0.0,0.0,-0.0,-0.08,-0.0,0.0,-0.04,-0.0,0.0,-0.08,-0.04,-0.12
374,-0.0,0.0,-0.0,-0.0,-0.07,0.0,-0.0,-0.58,0.0,0.0,-0.07,-0.58,-0.65
375,0.0,0.0,0.0,-0.0,-0.09,-0.0,0.0,-0.02,0.0,0.0,-0.09,-0.02,-0.11
376,0.0,0.0,-0.0,0.0,-0.07,0.0,-0.0,-0.58,-0.0,0.0,-0.07,-0.58,-0.66
377,-0.0,0.0,-0.0,-0.0,-0.05,-0.0,-0.0,0.96,-0.0,0.0,-0.05,0.96,0.9
378,0.0,0.0,0.0,-0.0,-0.1,-0.0,-0.0,0.18,-0.0,0.0,-0.1,0.18,0.09
379,0.0,-0.0,0.0,0.0,-0.07,-0.0,-0.0,-0.21,-0.0,0.0,-0.07,-0.21,-0.28
380,-0.0,0.0,-0.0,-0.0,-0.08,-0.0,0.0,0.13,0.0,0.0,-0.08,0.13,0.05
381,0.0,-0.0,0.0,-0.0,-0.09,-0.0,-0.0,-0.1,-0.0,0.0,-0.09,-0.1,-0.18
382,0.0,0.0,0.0,0.0,-0.05,-0.0,0.0,-0.32,-0.0,0.0,-0.05,-0.32,-0.37
